epo_path,ppt_num,sesh_num
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub1Rec1.epo.fif,1,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub1Rec2.epo.fif,1,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub2Rec1.epo.fif,2,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub2Rec2.epo.fif,2,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub4Rec1.epo.fif,4,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub4Rec2.epo.fif,4,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub5Rec1.epo.fif,5,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub5Rec2.epo.fif,5,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub7Rec1.epo.fif,7,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub7Rec2.epo.fif,7,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub8Rec1.epo.fif,8,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub8Rec2.epo.fif,8,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub9Rec1.epo.fif,9,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub9Rec2.epo.fif,9,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub10Rec1.epo.fif,10,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub10Rec2.epo.fif,10,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub11Rec1.epo.fif,11,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub11Rec2.epo.fif,11,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub12Rec1.epo.fif,12,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub12Rec2.epo.fif,12,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub13Rec1.epo.fif,13,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub13Rec2.epo.fif,13,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub14Rec1.epo.fif,14,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub14Rec2.epo.fif,14,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub15Rec1.epo.fif,15,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub15Rec2.epo.fif,15,2
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub16Rec1.epo.fif,16,1
/mnt/scratch/projects/psy-opt-2022/EEGprojects/data/Mammography/epoched/EEGTraining_Sub16Rec2.epo.fif,16,2
