ppt_num,data_path,pid,EOG_channel,status,ref_channel
1,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 1 NEW,20220318_1418PPT1NEW,VEOG,epoched,Cz
2,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 2,20220202_0830PPT2,VEOG,epoched,Cz
3,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 3,20220203_1225PPT3,HEOG,epoched,Cz
4,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 4 DATA,20220204_0855PPT4,HEOG,epoched,Cz
6,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 6 DATA,20220209_1456PPT6,HEOG,epoched,Cz
7,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 7 DATA,20220211_0846PPT7,VEOG,epoched,Cz
8,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 8 DATA,20220218_0920PPT8,HEOG,epoched,Cz
9,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 9 DATA,20220218_1242PPT9,HEOG,epoched,Cz
1,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 1 OLD,20220131_1255ppt1,VEOG,epoched,Cz
11,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 11 DATA,20220225_1019PPT11,HEOG,epoched,Cz
12,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 12 DATA,20220302_0952PPT12,HEOG,epoched,Cz
13,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 13 DATA,20220310_0848PPT13,VEOG,epoched,Cz
14,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 14 DATA,20220311_0900PPT14,VEOG,epoched,Cz
15,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 15 DATA,20220311_1132PPT15,VEOG,epoched,Cz
16,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 16 DATA,20220311_1445PPT16,VEOG,epoched,Cz
17,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 17 DATA,20220314_0847PPT17,VEOG,epoched,Cz
19,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 19 DATA,20220316_1141PPT19,VEOG,epoched,Cz
22,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 22 DATA,20220318_1142ppt22,VEOG,epoched,Cz
23,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 23 SCENES,20221103_1247_PPT23_scenes,VEOG,epoched,Cz
24,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 24 SCENES,20221110_0937PPT24_scenes,VEOG,epoched,Cz
25,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 25 SCENES,20221111_1152PPT25_scenes,VEOG,epoched,Cz
26,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 26 SCENES,20221122_1258_PPT26_scenes,VEOG,epoched,Cz
30,/Volumes/psgroups/AttentionPerceptionLab/AttentionPerceptionLabStudent/PROJECTS/EEG-ATTENTIONAL BLINK/DATA/PPT 30 SCENES,20221124_0945PPT30_scenes,VEOG,,Cz
